"intid","year","studyid","interaction","taxatype","whatmeasured","measurement","variable","value"
1,1951,"EMW001","predation","spp","phenovalue",154.875,"spp1","Acartia tonsa"
1,1972,"EMW001","predation","spp","phenovalue",176,"spp1","Acartia tonsa"
1,1973,"EMW001","predation","spp","phenovalue",173.083,"spp1","Acartia tonsa"
1,1976,"EMW001","predation","spp","phenovalue",178.875,"spp1","Acartia tonsa"
1,1983,"EMW001","predation","spp","phenovalue",177.875,"spp1","Acartia tonsa"
1,2002,"EMW001","predation","spp","phenovalue",169.25,"spp1","Acartia tonsa"
19,1982,"HMK004","herbivory","spp","phenovalue",99.6054,"spp1","Quercus spp."
19,1983,"HMK004","herbivory","spp","phenovalue",92.7749,"spp1","Quercus spp."
19,1984,"HMK004","herbivory","spp","phenovalue",100.0908,"spp1","Quercus spp."
19,1985,"HMK004","herbivory","spp","phenovalue",107.67,"spp1","Quercus spp."
19,1986,"HMK004","herbivory","spp","phenovalue",92.4126,"spp1","Quercus spp."
19,1987,"HMK004","herbivory","spp","phenovalue",115.786,"spp1","Quercus spp."
19,1988,"HMK004","herbivory","spp","phenovalue",95.9811,"spp1","Quercus spp."
100,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
100,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
101,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
101,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
102,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
102,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
103,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
103,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
104,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
104,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
105,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
105,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
106,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
106,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
107,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
107,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
108,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
108,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
109,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
109,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
110,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
110,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
111,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
111,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
112,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
112,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
113,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
113,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
114,1996,"HMK006","competition","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
114,1997,"HMK006","competition","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
115,1996,"HMK006","competition","spp","phenovalue",141,"spp1","Hylastes porculus"
115,1997,"HMK006","competition","spp","phenovalue",155.5,"spp1","Hylastes porculus"
116,1996,"HMK006","competition","spp","phenovalue",141,"spp1","Hylastes porculus"
116,1997,"HMK006","competition","spp","phenovalue",155.5,"spp1","Hylastes porculus"
117,1996,"HMK006","competition","spp","phenovalue",141,"spp1","Hylastes porculus"
117,1997,"HMK006","competition","spp","phenovalue",155.5,"spp1","Hylastes porculus"
118,1996,"HMK006","competition","spp","phenovalue",141,"spp1","Hylastes porculus"
118,1997,"HMK006","competition","spp","phenovalue",155.5,"spp1","Hylastes porculus"
119,1996,"HMK006","competition","spp","phenovalue",141,"spp1","Hylastes porculus"
119,1997,"HMK006","competition","spp","phenovalue",155.5,"spp1","Hylastes porculus"
120,1996,"HMK006","competition","spp","phenovalue",141,"spp1","Hylastes porculus"
120,1997,"HMK006","competition","spp","phenovalue",155.5,"spp1","Hylastes porculus"
121,1996,"HMK006","competition","spp","phenovalue",141,"spp1","Hylastes porculus"
121,1997,"HMK006","competition","spp","phenovalue",155.5,"spp1","Hylastes porculus"
122,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
122,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
123,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
123,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
124,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
124,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
125,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
125,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
