species,class,ott_id,exact
Acartia hudsonica,maxillopoda,254721,congeneric
Acartia tonsa,maxillopoda,254721,congeneric
Accipiter nisus,aves,238460,yes
Acrocephalus arundinaceus,aves,800677,yes
Acrocephalus scirpaceus,aves,726310,yes
Alca torda,aves,855485,yes
Ammodytes marinus,actinopterygii,289452,yes
Asterionella spp.,bacillariophyceae,613419,no_pickedrandom
Beroe gracilis,nuda,3684076,congeneric_Hormiphora
Bombus spp.,insecta,764002,no_pickedrandom
Castilleja tenuiflora,eudicot,862262,yes
Caterpillar_a spp.,insecta,190091,no_pickedMonarch
Caterpillar_b spp.,insecta,190091,no_pickedMonarch
Caterpillar_c spp.,insecta,190091,no_pickedMonarch
Caterpillar2 spp.,insecta,190091,no_pickedMonarch
Caterpillar2a spp.,insecta,190091,no_pickedMonarch
Caterpillar2b spp.,insecta,190091,no_pickedMonarch
Caterpillar2c spp.,insecta,190091,no_pickedMonarch
Caterpillar2d spp.,insecta,190091,no_pickedMonarch
Caterpillar4 spp.,insecta,190091,no_pickedMonarch
Cerorhinca monocerata,aves,989958,yes
Clamator glandarius,aves,3596359,no_pickedrandom
Copepod1 spp.,maxillopoda,461524,no_pickedrandom
Copepod2 spp.,maxillopoda,461524,no_pickedrandom
Corydalis ambigua,eudicot,3944903,congeneric
Cyclops vicinus,maxillopoda,469782,no_pickedDaphnialongispina
Daphnia hyalina-galeata,branchiopoda,469782,no_pickedDaphnialongispina
Daphnia pulicaria,branchiopoda,469782,no_pickedDaphnialongispina
Daphnia1 spp.,branchiopoda,469782,no_pickedDaphnialongispina
Daphnia2 spp.,branchiopoda,469782,no_pickedDaphnialongispina
Daphnia3 spp.,branchiopoda,469782,no_pickedDaphnialongispina
Delphinium nuttallianum,eudicot,643524,yes
Diatom1 spp.,bacillariophyceae,153485,no_pickedNaviculareinhardtii
Diatom2 spp.,bacillariophyceae,153485,no_pickedNaviculareinhardtii
Diatom3 spp.,bacillariophyceae,153485,no_pickedNaviculareinhardtii
Diatom4 spp.,bacillariophyceae,153485,no_pickedNaviculareinhardtii
Engraulis japonicus,actinopterygii,690902,yes
Epirrita autumnata,insecta,736683,yes
Erythronium grandiflorum,eudicot,653293,yes
Ficedula hypoleuca,aves,22300,yes
Ficedula_a hypoleuca,aves,22300,yes
Ficedula1 albicollis,aves,107840,yes
Ficedula2 albicollis,aves,107840,yes
Fratercula arctica,Sauropsida,864865,yes
Glis glis,mammalia,185345,yes
Guillemots spp.,aves,820016,check_pickedUria
Keratella2 cochlearis,Eurotifera,169316,yes
Leptodiaptomus ashlandi,maxillopoda,915855,yes
Mnemiopsis1 leidyi,tentaculata,161877,yes
Mnemiopsis2 leidyi,tentaculata,161877,yes
Operophtera brumata,insecta,10133,yes(ott4916717)butnotintreesopickedOperophterarelegata
Parus ater,aves,263637,yes
Parus caeruleus,aves,61147,yes
Parus_a ater,aves,263637,yes
Parus1 major,aves,515143,yes
Parus2 major,aves,515143,yes
Parus2a caeruleus,aves,61147,yes
Parus2b caeruleus,aves,61147,yes
Parus3 caeruleus,aves,61147,yes
Parus3 major,aves,515143,yes
Parus4a major,aves,515143,yes
Parus4b major,aves,515143,yes
Parus6 major,aves,515143,yes
Perca fluviatillis,actinopterygii,674565,congeneric
Phalacrocorax aristotelis,aves,1021952,yes
Phytoplankton1 spp.,bacillariophyceae,153485,no_pickedNaviculareinhardtii
Phytoplankton2 spp.,bacillariophyceae,153485,no_pickedNaviculareinhardtii
Pica pica,mammalia,776471,yes
Plant2 spp.,eudicot,580889,check_pickedEriophorumangustifolium
Plant3 spp.,eudicot,1015503,check_pickedGaillardiapinnatifida
Pleurobrachia pileus,tentaculata,3684070,congeneric
Pleurobrachia_a pileus,tentaculata,3684070,congeneric
Poecile montanus,aves,410101,yes
Pygoscelis adeliae,aves,494357,yes
Pygoscelis antarcticus,aves,134466,yes
Pygoscelis papua,aves,494357,congeneric
Quercus spp.,eudicot,791115,no_pickedrandom
Quercus2 robur,eudicot,791115,no_pickedrandom
Quercus3 robur,eudicot,791115,no_pickedrandom
Rangifer2 tarandus,mammalia,410153,yes
Rissa1 tridactyla,aves,585161,yes
Rissa2 tridactyla,aves,585161,yes
Selasphorus platycercus,aves,164175,yes
Sitta europaea,aves,950510,yes
Syrphid spp.,insecta,250535,check_pickedSyrphusautumnalis
Tortrix viridana,insecta,575683,yes
Uria aalge,aves,820016,yes
