,studyid,intid,int_type,spp,year,species,phenovalue,phenofreq,short_site,terrestrial
1,EMW001,1,predation,spp1,1951,Acartia tonsa,154.875,daily,rhode,aquatic
2,EMW001,1,predation,spp1,1972,Acartia tonsa,176,daily,rhode,aquatic
3,EMW001,1,predation,spp1,1973,Acartia tonsa,173.083,daily,rhode,aquatic
4,EMW001,1,predation,spp1,1976,Acartia tonsa,178.875,daily,rhode,aquatic
5,EMW001,1,predation,spp1,1983,Acartia tonsa,177.875,daily,rhode,aquatic
6,EMW001,1,predation,spp1,2002,Acartia tonsa,169.25,daily,rhode,aquatic
7,EMW001,1,predation,spp2,1951,Mnemiopsis1 leidyi,206.625,daily,rhode,aquatic
8,EMW001,1,predation,spp2,1972,Mnemiopsis1 leidyi,188.458,daily,rhode,aquatic
9,EMW001,1,predation,spp2,1973,Mnemiopsis1 leidyi,197.042,daily,rhode,aquatic
10,EMW001,1,predation,spp2,1976,Mnemiopsis1 leidyi,207.625,daily,rhode,aquatic
11,EMW001,1,predation,spp2,1983,Mnemiopsis1 leidyi,226.75,daily,rhode,aquatic
12,EMW001,1,predation,spp2,2002,Mnemiopsis1 leidyi,106.958,daily,rhode,aquatic
13,HMK004,19,herbivory,spp1,1982,Quercus spp.,99.6054,daily,ukraine,terrestrial
14,HMK004,19,herbivory,spp1,1983,Quercus spp.,92.7749,daily,ukraine,terrestrial
15,HMK004,19,herbivory,spp1,1984,Quercus spp.,100.0908,daily,ukraine,terrestrial
16,HMK004,19,herbivory,spp1,1985,Quercus spp.,107.67,daily,ukraine,terrestrial
17,HMK004,19,herbivory,spp1,1986,Quercus spp.,92.4126,daily,ukraine,terrestrial
18,HMK004,19,herbivory,spp1,1987,Quercus spp.,115.786,daily,ukraine,terrestrial
19,HMK004,19,herbivory,spp1,1988,Quercus spp.,95.9811,daily,ukraine,terrestrial
20,HMK004,19,herbivory,spp2,1982,Tortrix viridana,102.261,daily,ukraine,terrestrial
21,HMK004,19,herbivory,spp2,1983,Tortrix viridana,96.6617,daily,ukraine,terrestrial
22,HMK004,19,herbivory,spp2,1984,Tortrix viridana,105.007,daily,ukraine,terrestrial
23,HMK004,19,herbivory,spp2,1985,Tortrix viridana,109.914,daily,ukraine,terrestrial
24,HMK004,19,herbivory,spp2,1986,Tortrix viridana,96.7122,daily,ukraine,terrestrial
25,HMK004,19,herbivory,spp2,1987,Tortrix viridana,114.949,daily,ukraine,terrestrial
26,HMK004,19,herbivory,spp2,1988,Tortrix viridana,101.514,daily,ukraine,terrestrial
517,HMK008,144,poll,spp1,1984,Castilleja tenuiflora,105.7056,daily,arizona,terrestrial
518,HMK008,144,poll,spp1,1985,Castilleja tenuiflora,124.386,daily,arizona,terrestrial
519,HMK008,144,poll,spp1,1986,Castilleja tenuiflora,81.53372,daily,arizona,terrestrial
520,HMK008,144,poll,spp1,1987,Castilleja tenuiflora,110.7054,daily,arizona,terrestrial
521,HMK008,144,poll,spp1,1988,Castilleja tenuiflora,109.9014,daily,arizona,terrestrial
522,HMK008,144,poll,spp1,1989,Castilleja tenuiflora,125.3521,daily,arizona,terrestrial
523,HMK008,144,poll,spp1,1991,Castilleja tenuiflora,110.7233,daily,arizona,terrestrial
524,HMK008,144,poll,spp1,1992,Castilleja tenuiflora,116.1188,daily,arizona,terrestrial
525,HMK008,144,poll,spp1,1993,Castilleja tenuiflora,117.1447,daily,arizona,terrestrial
526,HMK008,144,poll,spp1,1994,Castilleja tenuiflora,87.76914,daily,arizona,terrestrial
527,HMK008,144,poll,spp1,1995,Castilleja tenuiflora,97.9382,daily,arizona,terrestrial
528,HMK008,144,poll,spp1,1997,Castilleja tenuiflora,130.9093,daily,arizona,terrestrial
529,HMK008,144,poll,spp1,1999,Castilleja tenuiflora,143.1043,daily,arizona,terrestrial
530,HMK008,144,poll,spp1,2001,Castilleja tenuiflora,124.7273,daily,arizona,terrestrial
531,HMK008,144,poll,spp1,2003,Castilleja tenuiflora,102.1519,daily,arizona,terrestrial
532,HMK008,144,poll,spp1,2007,Castilleja tenuiflora,114.1644,daily,arizona,terrestrial
533,HMK008,144,poll,spp1,2008,Castilleja tenuiflora,106.7565,daily,arizona,terrestrial
534,HMK008,144,poll,spp1,2009,Castilleja tenuiflora,111.4213,daily,arizona,terrestrial
535,HMK008,144,poll,spp1,2010,Castilleja tenuiflora,109.1358,daily,arizona,terrestrial
536,HMK008,145,poll,spp1,1975,Delphinium nuttallianum,170.8556,daily,arizona,terrestrial
537,HMK008,145,poll,spp1,1979,Delphinium nuttallianum,163.5027,daily,arizona,terrestrial
538,HMK008,145,poll,spp1,1980,Delphinium nuttallianum,166.0428,daily,arizona,terrestrial
539,HMK008,145,poll,spp1,1981,Delphinium nuttallianum,151.8075,daily,arizona,terrestrial
540,HMK008,145,poll,spp1,1982,Delphinium nuttallianum,159.2941,daily,arizona,terrestrial
541,HMK008,145,poll,spp1,1983,Delphinium nuttallianum,170.9893,daily,arizona,terrestrial
542,HMK008,145,poll,spp1,1984,Delphinium nuttallianum,169.385,daily,arizona,terrestrial
543,HMK008,145,poll,spp1,1985,Delphinium nuttallianum,155.8182,daily,arizona,terrestrial
544,HMK008,145,poll,spp1,1986,Delphinium nuttallianum,151.8075,daily,arizona,terrestrial
545,HMK008,145,poll,spp1,1987,Delphinium nuttallianum,152.8075,daily,arizona,terrestrial
546,HMK008,145,poll,spp1,1988,Delphinium nuttallianum,151.738,daily,arizona,terrestrial
547,HMK008,145,poll,spp1,1989,Delphinium nuttallianum,148.4652,daily,arizona,terrestrial
548,HMK008,145,poll,spp1,1991,Delphinium nuttallianum,160.8289,daily,arizona,terrestrial
549,HMK008,145,poll,spp1,1993,Delphinium nuttallianum,169.5882,daily,arizona,terrestrial
550,HMK008,145,poll,spp1,1995,Delphinium nuttallianum,177.0053,daily,arizona,terrestrial
551,HMK008,145,poll,spp1,1996,Delphinium nuttallianum,155.8824,daily,arizona,terrestrial
552,HMK008,145,poll,spp1,1997,Delphinium nuttallianum,153.6791,daily,arizona,terrestrial
553,HMK008,145,poll,spp1,1998,Delphinium nuttallianum,146.3262,daily,arizona,terrestrial
554,HMK008,145,poll,spp1,1999,Delphinium nuttallianum,160.0267,daily,arizona,terrestrial
555,HMK008,145,poll,spp1,2000,Delphinium nuttallianum,150,daily,arizona,terrestrial
556,HMK008,145,poll,spp1,2001,Delphinium nuttallianum,152.3422,daily,arizona,terrestrial
557,HMK008,145,poll,spp1,2002,Delphinium nuttallianum,137.5027,daily,arizona,terrestrial
558,HMK008,145,poll,spp1,2003,Delphinium nuttallianum,150,daily,arizona,terrestrial
559,HMK008,145,poll,spp1,2004,Delphinium nuttallianum,136.9679,daily,arizona,terrestrial
560,HMK008,145,poll,spp1,2005,Delphinium nuttallianum,149.8021,daily,arizona,terrestrial
561,HMK008,145,poll,spp1,2006,Delphinium nuttallianum,141.5134,daily,arizona,terrestrial
562,HMK008,145,poll,spp1,2007,Delphinium nuttallianum,138.5027,daily,arizona,terrestrial
563,HMK008,145,poll,spp1,2008,Delphinium nuttallianum,163.9037,daily,arizona,terrestrial
564,HMK008,145,poll,spp1,2009,Delphinium nuttallianum,147.3957,daily,arizona,terrestrial
565,HMK008,145,poll,spp1,2010,Delphinium nuttallianum,150.4706,daily,arizona,terrestrial
566,HMK008,146,poll,spp1,1975,Erythronium grandiflorum,159.6556,daily,arizona,terrestrial
567,HMK008,146,poll,spp1,1979,Erythronium grandiflorum,157.6076,daily,arizona,terrestrial
568,HMK008,146,poll,spp1,1980,Erythronium grandiflorum,160.4089,daily,arizona,terrestrial
569,HMK008,146,poll,spp1,1981,Erythronium grandiflorum,139.7202,daily,arizona,terrestrial
570,HMK008,146,poll,spp1,1983,Erythronium grandiflorum,161.5833,daily,arizona,terrestrial
571,HMK008,146,poll,spp1,1984,Erythronium grandiflorum,161.1712,daily,arizona,terrestrial
