rowid,studyid,site,year,factormanipulated,secondfactor,tempman,phenoman,phenophaseman,labfield,treatment,treatunits,treatchangeC,treatchangeday,genus,species,genus2,species2,phenophase,phenounits,phenovalue,phenovarunit,phenovarvalue,n,fitnesscomp,fitnessunit,stdfitness,fitnessvalue,fitnessvarunit,fitnessvarvalue,fitnesstype,notes
1,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,408.7,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
3,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,431.1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
5,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,6.3,Cacopsylla,palmeni,NA,NA,development to fifth instar,mean day-degrees above 0,415,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
7,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,-7.7,Cacopsylla,brunneipennis,NA,NA,development to fifth instar,mean day-degrees above 0,423.4,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
2,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,1,C,1.4,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,439.1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
4,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,1,C,0.6,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,345.2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
6,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,1,C,1.4,-15.1,Cacopsylla,palmeni,NA,NA,development to fifth instar,mean day-degrees above 0,424,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
8,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,1,C,0.6,-21.1,Cacopsylla,brunneipennis,NA,NA,development to fifth instar,mean day-degrees above 0,324.1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
10,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,velutina,NA,NA,budburst,day,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient
19,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,alba,NA,NA,budburst,day,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient
20,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,velutina,NA,NA,budburst,day,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient
11,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,-5,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to alba
21,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,-8,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to alba
12,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,6,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to velutina
28,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,4,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to velutina
9,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,alba,NA,NA,budburst,day,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient=control
